"uhf_id","uhf_code","uhf_km2","uhf_lndkm2","uhf_strint","uhf_intden","uhf_sub12c","uhf_sub12d","uhf_strkm2","uhf_strpct","uhf_wlkkm2","uhf_wlkpct","uhf_cpykm2","uhf_cpypct","uhf_rbckm2","uhf_rbcpct","uhf_swckm2","uhf_swcpct","uhf_svd_c","uhf_svd_m","uhf_sim1_m","uhf_sim2_m","uhf_sim3_m","uhf_sim4_m","uhf_sim5_m","uhf_sim6_m","uhf_sim7_m","uhf_sim8_m","uhf_sim9_m","uhf_sim10_","uhf_reskm2","uhf_respct","uhf_comkm2","uhf_compct","uhf_lumixa","uhf_b1","uhf_b2","uhf_b3","uhf_b4","uhf_b5","uhf_a","uhf_n","uhf_rtlfar","uhf_entrpy","uhf_resdn1","uhf_resdn1_z","uhf_intden_z","uhf_entrpy_z","uhf_rtlfar_z","uhf_sub12d_z","uhf_beh_walk","uhf_beh_walk_cat"
12,204,14.4327342656,14.4233561827,1011,70.0946428275,19,1.31730782762,2.5429205609,0.17630574526,1.187273186,0.08231601376,2.12813343071,0.14754772771,0.27283116158,0.01891592762,0.24591546461,0.01704980876,5774,0.102905,0.107964,0.096007,0.097402,0.073971,0.099774,0.113522,0.132243,0.098027,0.054441,0.084179,5.929745,0.84122000742,1.119237,0.15877999258,0.53427562615,5010505.68557,109178,63937313.7665,3018434.78248,5763280.7131,77838712.9476,5,0.45894689365,0.413904305563,"10462.40563373811",0.365090250968933,0.408559948205948,0.160535112023354,-0.201617896556854,0.125266820192337,0.857834219932556,4
13,205,10.0455263996,10.0240679821,392,39.1058800379,7,0.69831928639,1.74894625556,0.17447470016,0.61524834249,0.06137711193,1.50848723461,0.15048653274,0.20964552404,0.02091421611,0.12240800731,0.01221141033,3932,-0.02869,-0.019632,-0.059845,0.002666,-0.018427,-0.035577,-0.063548,-0.055383,0.016197,-0.071795,-0.023031,3.269789,0.60824182228,2.106015,0.39175817772,0.95313483164,1800291,56000,35623595.0333,3465590.00011,3075951.30693,44021427.3403,5,0.60804828588,0.432787610269,"10976.14683279182",0.731248438358307,-1.36309683322906,0.332556843757629,0.417564421892166,-0.35747629404068,-0.239203423261642,3
14,206,15.9678933121,15.9678933121,1044,65.3811983581,21,1.31513904743,2.95487131416,0.18505079264,1.52427464096,0.09545871902,2.62754744472,0.16455191636,0.59927972912,0.03753029391,0.49051238972,0.03071866652,6387,0.107608,0.095727,0.115416,0.122387,0.128209,0.12544,0.131062,0.122527,0.121913,0.138712,0.119855,11.629361,0.89691399081,1.33661,0.10308600919,0.36983713561,7780529,92644,126644323.341,6671002,5295825,146484323.341,5,0.710724695,0.339932840086,"9302.25431587908",-0.461783081293106,0.13908788561821,-0.513324737548828,0.843954920768738,0.123575411736965,0.131510406732559,3
15,207,17.9988570799,17.7910290091,1140,64.0772379954,16,0.89932965608,3.11298284459,0.17497486194,1.44897675072,0.08144423518,3.73930050865,0.21017899003,0.53712282442,0.03019065531,0.41559175804,0.02335962455,7120,-0.034692,-0.013941,-0.027115,-0.022166,-0.016266,-0.03638,-0.041825,-0.030517,-0.058715,-0.037817,-0.038323,11.342641,0.91811700326,1.011602,0.08188299674,0.30071268634,10360656,77846.266481,122663701.247,6339344.25266,4050272.29546,143491820.062,5,0.6339644706,0.351943887419,"9850.75409039019",-0.0708514600992203,0.0645392462611198,-0.403907358646393,0.525188148021698,-0.200710281729698,-0.0857417061924934,3
16,208,31.2010387482,31.1780586132,1502,48.1749046223,2,0.06414767593,5.09358806902,0.16337091838,1.4233497149,0.04565228812,5.10279628256,0.16366626113,0.75310509893,0.02415497091,0.49819708112,0.01597909245,12322,-0.242944,-0.248091,-0.21958,-0.23201,-0.257444,-0.255371,-0.260583,-0.232199,-0.236416,-0.233535,-0.219562,7.258147,0.85744043607,1.206752,0.14255956393,0.48894533865,3088282,67513.733519,78306364.8025,5578764.83305,3483938.88158,90524864.2507,5,0.25648445235,0.337469969357,"9184.92265444864",-0.545408725738525,-0.844612121582031,-0.535760819911957,-1.04239583015442,-0.852060556411743,-3.82023811340332,1
17,209,14.8679722299,14.8572986531,1128,75.9222807818,11,0.7403768516,2.74793196865,0.18495501994,1.09338876447,0.07359270282,2.11428518085,0.14230616414,0.43049678788,0.02897544149,0.30754836575,0.0207001537,5937,-0.259441,-0.236746,-0.285585,-0.255271,-0.246112,-0.288159,-0.238237,-0.295777,-0.254551,-0.254359,-0.248864,8.202744,0.9170416747,0.742045,0.0829583253,0.30430496627,3193974.20131,24694,90376167.3293,5554286.33995,4610286.62427,103759408.495,5,0.33831373919,0.325877609518,"9858.12582439169",-0.0655974149703979,0.741731524467468,-0.64136403799057,-0.70257842540741,-0.324676036834717,-0.992484390735626,2
18,210,21.5160866894,21.4398236056,1576,73.5080674632,16,0.74627479658,3.81934623033,0.17814261444,1.5787869174,0.07363805535,3.26782038709,0.15241824967,0.68622276925,0.03200692235,0.48785255614,0.02275450419,8494,-0.072042,-0.083166,-0.081451,-0.06679,-0.069846,-0.08151,-0.094646,-0.079828,-0.082929,-0.08904,-0.085012,11.696012,0.90855396255,1.177205,0.09144603745,0.33233463874,5797688.23367,535531.468708,126414106.634,7212469.19886,7813827.75723,147773623.292,5,0.39920401527,0.362739643576,"9914.20774850910",-0.0256262104958296,0.603708624839783,-0.305560976266861,-0.449715733528137,-0.320076286792755,-0.497270584106445,2
19,211,10.0357461712,10.0357151173,769,76.6263281701,18,1.79359415743,1.75214828954,0.17459127417,1.08836422246,0.10844909503,1.25605365941,0.12515836139,0.1714146674,0.01708046366,0.2157273519,0.02149596211,4009,0.243734,0.257207,0.259207,0.210632,0.22661,0.232341,0.213378,0.213362,0.258265,0.225901,0.241058,7.17478,0.79704800119,1.826911,0.20295199881,0.64704993996,6187943,1e-006,77553161.6495,4867340,4451375.92749,93059820.577,5,0.66658960861,0.39261776916,"10962.77970295043",0.721721291542053,0.78198254108429,-0.0333794206380844,0.6606724858284,0.496717870235443,2.62771487236023,5
20,301,9.04366789502,9.04366789503,468,51.7489148686,18,1.99034287956,1.76317503385,0.19496238189,0.80084878414,0.08855353751,2.46082890632,0.27210518286,0.1679262846,0.01856838249,0.1684263324,0.01862367508,3615,0.056925,0.065582,0.021849,0.066994,0.056791,0.05895,0.033727,0.069705,0.079778,0.034376,0.073377,8.238721,0.92323458594,0.685036,0.07676541406,0.28348994105,7498706.97677,31000,88833143,4217056,3438754.19478,104018660.172,5,0.56238976067,0.353814586819,"11370.22768374626",1.01212120056152,-0.640282571315765,-0.386865794658661,0.227955535054207,0.650160312652588,0.863088667392731,4
21,302,5.71547599005,5.7137133598,318,55.6555745756,13,2.27522789146,1.20594617175,0.21106172043,0.62706619116,0.10974757599,1.1814116139,0.20676774271,0.12416069818,0.02173029873,0.17383635548,0.03042440958,2280,-0.10413,-0.096898,-0.080295,-0.121884,-0.081732,-0.088657,-0.071416,-0.096459,-0.090555,-0.091526,-0.131094,6.696918,0.88267010667,0.890195,0.11732989333,0.41425435786,9687438.61794,237574,72944109.28,3771065,6167074.11947,92807261.0175,5,0.43059107912,0.466472356334,"9555.05091970913",-0.281607657670975,-0.416935175657272,0.639415681362152,-0.319372802972794,0.872339308261871,0.493839353322983,3
