"cd_id","boro_cd","cd_km2","cd_lndkm2","cd_strint","cd_intden","cd_sub12c","cd_sub12d","cd_b1","cd_b2","cd_b3","cd_b4","cd_b5","cd_a","cd_n","cd_rtlfar","cd_reskm2","cd_entrpy","cd_resdn1","cd_resdn1_z","cd_intden_z","cd_entrpy_z","cd_rtlfar_z","cd_sub12d_z","cd_beh_walk","cd_beh_walk_cat"
18,205,3.55515016939,3.55515016939,278,78.1964155533,8,2.25025656268,3445681,42220,42300608.5194,2095148,4233158.46872,52116815.9882,5,0.56365532773,3.92985512531,0.427388796859,"11308.34042504153",0.677457749843597,0.776591122150421,0.30085015296936,0.330237030982971,0.716045379638672,2.80118131637573,5
19,206,3.97240131475,3.97238794254,333,83.8286705168,2,0.5034754986,4518519,1e-006,27749526.7891,2052909.01161,4231168.79373,38552123.5944,5,0.5770347684,2.57801539726,0.550875968958,"11534.06609954288",0.746502339839935,0.998035788536072,1.2696830034256,0.376917958259583,-0.477939635515213,2.91319942474365,5
20,207,4.95930020681,4.95930020681,288,58.0727094529,10,2.01641352267,4926281,1e-006,51368684.1019,2845942,4709616.70695,63850523.8089,5,0.73541365406,4.77230691387,0.437167693938,"10427.16360529231",0.407924652099609,-0.0146172372624278,0.377571612596512,0.929502487182617,0.556205630302429,2.25658702850342,4
21,208,8.55918137941,8.18150128928,441,53.9020876985,4,0.48890782493,3342799.1109,1e-006,50358493.4258,1326924,914618.458561,55942834.9953,5,0.4040045938,4.67845712908,0.260352807373,"9477.60469697471",0.117474943399429,-0.178594529628754,-1.00964987277985,-0.226784974336624,-0.487897127866745,-1.78545153141022,1
22,209,10.5540486553,10.5504026867,566,53.6472414189,5,0.47391556024,3728484,799.949476,61159608.7424,3613159.83971,1265044.62076,69767097.1524,5,0.46449228575,5.68191357738,0.309510165221,"11178.09792842814",0.637619316577911,-0.188614368438721,-0.623980224132538,-0.015743188560009,-0.498144865036011,-0.688863337039948,2
23,210,15.8331869087,15.8263191753,954,60.2793352916,6,0.3791153163,2966455.89831,113838.489437,56415389.9635,3341242.2476,4130189.97782,66967116.5767,5,0.33511786164,5.2411612304,0.38196221151,"9427.70174875454",0.102210707962513,0.072141170501709,-0.0555493421852589,-0.467131048440933,-0.562944114208221,-0.911272644996643,2
24,211,9.32216209007,9.32216209007,604,64.7918362891,6,0.64362751281,2984669,36850,45309787.0038,2325632,6506384.26773,57163322.2715,5,0.46229769288,4.20941695441,0.447799832924,"9881.77555787062",0.241102144122124,0.249560207128525,0.46098729968071,-0.0234001316130161,-0.382140904664993,0.546108603477478,3
25,212,14.3190940924,14.30662124,829,57.9451979677,10,0.6989770563,3175670,45173,58366692.2824,2542003.70324,1155284.39763,65284823.3833,5,0.38781610889,5.42244314778,0.279609961992,"9793.26922785949",0.21402995288372,-0.0196306351572275,-0.85856568813324,-0.283266663551331,-0.344307571649551,-1.29174065589905,1
29,301,12.2622826702,12.2589435876,942,76.8418578052,14,1.14202336441,4247761,160390,69725347.8315,5309123,4361529.28388,83804151.1154,5,0.65274311428,6.47769677861,0.400616497756,"11058.71351044956",0.601102232933044,0.723333656787872,0.0908050015568733,0.641064643859863,-0.0414701662957668,2.01483535766602,4
30,302,7.41933256188,7.41886604139,583,78.5834380547,19,2.56103828995,7681382,261630,54406079.7012,6328973.99298,24327786.1538,93005851.848,5,0.81037237672,5.05449019872,0.664710956784,"10541.91380437900",0.443024277687073,0.791807770729065,2.16278839111328,1.19103372097015,0.928475439548492,5.51712942123413,5
31,303,7.3820075435,7.3820075435,460,62.3136724379,11,1.4901095583,4934446,1e-006,66401458.6466,3578034.99844,6076392,80990331.645,5,0.64797804936,6.1688973687,0.413460793442,"10567.52870144192",0.450859308242798,0.152125671505928,0.191576406359673,0.624439358711243,0.196458742022514,1.61545944213867,4
32,304,5.26394366249,5.26394366249,371,70.4794777048,14,2.65960293226,2734950,1e-006,38090731.0936,2455621,472345,43753647.0936,5,0.68583512336,3.53874471442,0.313464843607,"10854.97912038735",0.538784205913544,0.473182499408722,-0.592953324317932,0.756522834300995,0.995847761631012,2.17138385772705,4
33,305,14.4382677179,14.434913796,960,66.5054196767,17,1.17770014011,4718683.68336,109178,63629398.9661,3468844,6344150.7308,78270255.3803,5,0.49662497444,5.91136459733,0.427865579918,"10339.09148398798",0.380985260009766,0.316933542490005,0.304590821266174,0.0963678807020187,-0.0170838609337807,1.08179366588593,4
34,306,7.90261659628,7.90209049055,518,65.5522738723,7,0.88584153881,1874298,55600,52373726.3469,3666718.10454,3456679.41742,61427021.8688,5,0.4707496617,4.86567839375,0.359714898783,"10781.84700064945",0.516414701938629,0.279458492994308,-0.230093196034431,0.00608881982043386,-0.216579273343086,0.355289548635483,2
35,307,9.84394225975,9.82248381756,398,40.5192828405,8,0.81445794654,2380855,34400,40214896.8486,3280460.62922,2403709.33166,48314321.8095,5,0.61202222224,3.73608617052,0.396505390217,"10881.44066932808",0.546878278255463,-0.704769313335419,0.058550838381052,0.498989313840866,-0.265372425317764,0.134276688098907,2
36,308,4.23952395442,4.23952395442,232,54.7231251655,7,1.65112877655,2638620,17484,43980974.2891,1753573,2652047,51042698.2891,5,0.67210610671,4.08596621362,0.34399809683,"10793.04077401644",0.519838631153107,-0.146313607692719,-0.353401154279709,0.708622217178345,0.306520909070969,1.03526699542999,3
37,309,4.21040765009,4.21040765009,280,66.5018742292,10,2.37506693676,3158053,1e-006,40722302.2044,1793822,2274138,47948315.2044,5,0.5470372129,3.78322567058,0.363732636871,"9952.35369984915",0.262690484523773,0.316794157028198,-0.198571562767029,0.272256374359131,0.801357567310333,1.45452702045441,4
38,310,10.3336737173,10.3238262654,807,78.168692426,4,0.38745324623,1973590.20131,38124,59485526.406,3255468.25321,3514035.91184,68266744.7723,5,0.26413927668,5.52638623912,0.325847980629,"9643.37230409175",0.168179705739021,0.775501132011414,-0.495799988508224,-0.714775621891022,-0.557244837284088,-0.824139595031738,2
